"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Oct 26 13:43:02 GMT 2024","Sat Oct 26 13:43:02 GMT 2024","0","","test_Front","TestMessage","","","test_add_reacrion",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:48 GMT 2024","0","","test_API","","","","test_remove_reaction",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:49 GMT 2024","156","","test_API","","","","test_add_reaction_to_nonexistent_message",""
"broken","Sat Oct 26 13:43:02 GMT 2024","Sat Oct 26 13:43:02 GMT 2024","0","","test_Front","TestMessage","","","test_send_message_with_mention",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:48 GMT 2024","124","","test_API","","","","test_create_message_without_content",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:48 GMT 2024","0","","test_API","","","","test_get_messages_array",""
"broken","Sat Oct 26 13:43:02 GMT 2024","Sat Oct 26 13:43:02 GMT 2024","0","","test_Front","TestMessage","","","test_delete_message",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:48 GMT 2024","0","","test_API","","","","test_get_message",""
"failed","Sat Oct 26 13:42:47 GMT 2024","Sat Oct 26 13:42:47 GMT 2024","0","","test_API","","","","test_create_message_with_text_and_attachment",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:48 GMT 2024","0","","test_API","","","","test_add_reaction",""
"broken","Sat Oct 26 13:43:02 GMT 2024","Sat Oct 26 13:43:02 GMT 2024","0","","test_Front","TestMessage","","","test_edit_message",""
"broken","Sat Oct 26 13:42:49 GMT 2024","Sat Oct 26 13:42:49 GMT 2024","0","","test_Front","TestMessage","","","test_send_message",""
"failed","Sat Oct 26 13:42:49 GMT 2024","Sat Oct 26 13:42:49 GMT 2024","121","","test_API","","","","test_remove_reaction_from_nonexistent_message",""
"broken","Sat Oct 26 13:43:02 GMT 2024","Sat Oct 26 13:43:02 GMT 2024","0","","test_Front","TestNegative","","","test_send_message_with_non_exist_user",""
"broken","Sat Oct 26 13:43:02 GMT 2024","Sat Oct 26 13:43:02 GMT 2024","0","","test_Front","TestMessage","","","test_delete_reacrion",""
"failed","Sat Oct 26 13:42:48 GMT 2024","Sat Oct 26 13:42:48 GMT 2024","129","","test_API","","","","test_get_message_with_invalid_id",""
